Product_Name,Category,Current_Price,Old_Price,Discount,Total_Ratings,Image_Link,Review_Rating,Review_Date,Verified_Purchase,Review_Text
"NIVEA Dry Comfort Roll-on For  Women, 72h- 50ml (Pack Of  2)",Home > Health & Beauty > Beauty & Personal Care > Personal Care > Deodorants & Antiperspirants > Deodorants,"₦ 4,085",No Old Price,0%,(209 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/1249383/1.jpg?8199,4 out of 5,No Date,Yes,LOVELY
"NIVEA Dry Comfort Roll-on For  Women, 72h- 50ml (Pack Of  2)",Home > Health & Beauty > Beauty & Personal Care > Personal Care > Deodorants & Antiperspirants > Deodorants,"₦ 4,085",No Old Price,0%,(209 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/1249383/1.jpg?8199,4 out of 5,No Date,Yes,It very very good and long lasting
Oraimo SpaceBuds Hybrid ANC TW-S W/ Custom Voice,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 43,995","₦ 102,000",57%,(59 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/4412704/1.jpg?7230,4 out of 5,No Date,Yes,"Love the bass, just feel the battery could have lasted longer though"
Oraimo SpaceBuds Hybrid ANC TW-S W/ Custom Voice,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 43,995","₦ 102,000",57%,(59 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/4412704/1.jpg?7230,5 out of 5,No Date,Yes,awesome sound quality marvelous and so much features
Oraimo SpaceBuds Hybrid ANC TW-S W/ Custom Voice,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 43,995","₦ 102,000",57%,(59 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/4412704/1.jpg?7230,5 out of 5,No Date,Yes,It's the most premium earbuds in nigeria for sure
GALUIN Men's Casual Shoes Board Sneakers- Black,Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 16,082",36%,(93 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/0060372/1.jpg?7751,5 out of 5,No Date,Yes,"I doubted the quality at first but after receiving, it's of good quality and design is just as displayed. I recommend."
GALUIN Men's Casual Shoes Board Sneakers- Black,Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 16,082",36%,(93 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/0060372/1.jpg?7751,2 out of 5,No Date,Yes,Look fake
GALUIN Men's Casual Shoes Board Sneakers- Black,Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 16,082",36%,(93 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/0060372/1.jpg?7751,5 out of 5,No Date,Yes,My bro loved it
"Berrykey Berrykey Men's Polo Shirt - Cotton & Linen, Multi-Color, Sizes S-XXXL",Home > Fashion > Men's Fashion > Clothing > Shirts > Polos,"₦ 11,035","₦ 22,800",52%,(305 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8379501/1.jpg?3049,1 out of 5,No Date,Yes,"this is what you ordered vs what you got. very bad quality too. shade and fabric totally different from what is presented.
and it completely see through, poor and bad quality"
"Berrykey Berrykey Men's Polo Shirt - Cotton & Linen, Multi-Color, Sizes S-XXXL",Home > Fashion > Men's Fashion > Clothing > Shirts > Polos,"₦ 11,035","₦ 22,800",52%,(305 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8379501/1.jpg?3049,5 out of 5,No Date,Yes,Exactly what I ordered
"Berrykey Berrykey Men's Polo Shirt - Cotton & Linen, Multi-Color, Sizes S-XXXL",Home > Fashion > Men's Fashion > Clothing > Shirts > Polos,"₦ 11,035","₦ 22,800",52%,(305 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8379501/1.jpg?3049,4 out of 5,No Date,Yes,Low quality material
Trendyol Women's Wide Leg Trousers - Grey,Home > Fashion > Women's Fashion > Clothing > Pants > Trouser,"₦ 5,170","₦ 18,000",71%,(11 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/8294814/1.jpg?0256,4 out of 5,No Date,Yes,True to size stretchy and comfortable
Trendyol Women's Wide Leg Trousers - Grey,Home > Fashion > Women's Fashion > Clothing > Pants > Trouser,"₦ 5,170","₦ 18,000",71%,(11 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/8294814/1.jpg?0256,5 out of 5,No Date,Yes,Good quality and very fine
Trendyol Women's Wide Leg Trousers - Grey,Home > Fashion > Women's Fashion > Clothing > Pants > Trouser,"₦ 5,170","₦ 18,000",71%,(11 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/8294814/1.jpg?0256,4 out of 5,No Date,Yes,The trousers nice but it's tight by the hip. It might not fit women with hips perfectly.
"GALUIN Men's low-top shoes, new style sports casual shoes, men's casual sneakers-Black",Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 22,859",55%,(85 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/5482523/1.jpg?4199,5 out of 5,No Date,Yes,"It looks durable and beautiful, exactly as displayed online. I love it"
"GALUIN Men's low-top shoes, new style sports casual shoes, men's casual sneakers-Black",Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 22,859",55%,(85 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/5482523/1.jpg?4199,4 out of 5,No Date,Yes,Size is exact
"GALUIN Men's low-top shoes, new style sports casual shoes, men's casual sneakers-Black",Home > Fashion > Men's Fashion > Shoes > Fashion Sneakers > Sneakers > Low-cut,"₦ 10,290","₦ 22,859",55%,(85 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/5482523/1.jpg?4199,5 out of 5,No Date,Yes,"Very comfortable and attractive,I hope it last long because of the sole,but still I love it"
"NIVEA Black & White Invisible Original Anti-Perspirant Roll-on For Men, 48h - 50ml",Home > Health & Beauty > Beauty & Personal Care > Personal Care > Deodorants & Antiperspirants,"₦ 2,045",No Old Price,0%,(298 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5878941/1.jpg?0089,5 out of 5,No Date,Yes,The scent is good
"NIVEA Black & White Invisible Original Anti-Perspirant Roll-on For Men, 48h - 50ml",Home > Health & Beauty > Beauty & Personal Care > Personal Care > Deodorants & Antiperspirants,"₦ 2,045",No Old Price,0%,(298 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5878941/1.jpg?0089,5 out of 5,No Date,Yes,Came as ordered
"NIVEA Black & White Invisible Original Anti-Perspirant Roll-on For Men, 48h - 50ml",Home > Health & Beauty > Beauty & Personal Care > Personal Care > Deodorants & Antiperspirants,"₦ 2,045",No Old Price,0%,(298 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5878941/1.jpg?0089,1 out of 5,No Date,Yes,Nice smell
GALUIN Summer Slippers In Non -slip For Men - Brown,Home > Fashion > Men's Fashion > Shoes > Sandals > Sling Back,"₦ 8,820 - ₦ 9,702","₦ 14,465",39%,(127 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/4474491/1.jpg?2320,3 out of 5,No Date,Yes,Size is bigger
GALUIN Summer Slippers In Non -slip For Men - Brown,Home > Fashion > Men's Fashion > Shoes > Sandals > Sling Back,"₦ 8,820 - ₦ 9,702","₦ 14,465",39%,(127 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/4474491/1.jpg?2320,4 out of 5,No Date,Yes,"The items came early, and very good"
GALUIN Summer Slippers In Non -slip For Men - Brown,Home > Fashion > Men's Fashion > Shoes > Sandals > Sling Back,"₦ 8,820 - ₦ 9,702","₦ 14,465",39%,(127 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/4474491/1.jpg?2320,5 out of 5,No Date,Yes,It's good. Recommendable
Oraimo SpaceBuds Neo True Wireless Spatial Earbuds Sound360 Audio - Green,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Accessories > Headsets,"₦ 18,795","₦ 45,000",58%,(79 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/5591114/1.jpg?0968,5 out of 5,No Date,Yes,The sound is amazing and the battery last longer
Oraimo SpaceBuds Neo True Wireless Spatial Earbuds Sound360 Audio - Green,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Accessories > Headsets,"₦ 18,795","₦ 45,000",58%,(79 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/5591114/1.jpg?0968,5 out of 5,No Date,Yes,No regrets getting this
